,,,Dec 29-Jan 4,Jan 5-Jan 11,Jan 12-Jan 18,Jan 19-Jan 25,Jan 26-Feb 1,Feb 2-Feb 8,Feb 9-Feb 15,Feb 16-Feb 22,Feb 23-Mar 1,Mar 2-Mar 8,Mar 9-Mar 15,Mar 16-Mar 22,Mar 23-Mar 29,Mar 30-Apr 5,Apr 6-Apr 12,Apr 13-Apr 19,Apr 20-Apr 26
State,Local Govt Areas,Population,Attack Rate,Attack Rate ,Attack Rate,Attack Rate,Attack Rate ,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate
Plateau,Bokkos,193303.00,,,,,0.52,0.52,0.52,5.17,,,,,,2.07,0.52,1.03,
Plateau,Langtang North,152345.00,,,0.66,,,,,,,,14.44,3.28,,1.97,0.66,1.97,0.66
Sokoto,Binji,114766.00,,,,,,,,6.97,1.74,,1.74,13.94,2.61,3.49,0.87,,3.49
Sokoto,Gudu,104404.00,,,,,,,,,,4.79,,24.90,6.70,2.87,,27.78,
Sokoto,Gwadabawa,252811.00,,,,,,9.10,14.64,7.52,30.46,4.75,5.54,2.37,4.35,,,0.79,0.79
Sokoto,Illela,164443.00,,,,,,,,24.93,6.69,14.59,4.26,9.12,2.43,,,12.16,
Sokoto,Isa,159651.00,,,,,,,,36.96,,3.76,,,,1.88,,,
Sokoto,Kebbe,136217.00,,,,,,,,,,,,27.16,4.40,5.14,3.67,,
Sokoto,Kware,146315.00,,,,,,,1.37,,2.05,,,,5.47,,4.10,6.15,
Sokoto,Sabon Birni,226649.00,,,,,,,,,,,,,5.29,6.61,,,
Sokoto,Tambuwal,245788.00,,,,,,,,5.70,3.25,,6.10,,,,,,
Sokoto,Tangaza,124410.00,,,,,,,,,1.61,,,,,19.29,,11.25,
Sokoto,Tureta,74710.00,,,,,,,,,2.68,4.02,,,24.09,24.09,,,
Sokoto,Wanako,196275.00,,,,,,,,,,,,7.13,10.70,1.53,,,
Taraba,K/Lanido,213381.00,,,,,,,,0.47,7.50,7.97,3.75,7.50,9.37,4.22,1.41,0.94,
Yobe,Bado,154979.00,,,,,,1.29,,,,1.29,3.87,4.52,2.58,3.87,11.61,11.61,10.97
Yobe,Bursari,120988.00,,,,,,,,16.53,4.13,8.27,2.48,2.48,4.96,12.40,1.65,3.31,
Yobe,Damaturu,97583.00,,,,,,1.02,8.20,8.20,18.45,12.30,14.35,12.30,29.72,27.67,27.67,15.37,11.27
Yobe,Fika,151778.00,,,,,,6.59,9.88,5.93,2.64,1.98,1.98,9.22,7.25,6.59,1.32,2.64,
Yobe,Fune,333458.00,,,,,,5.40,0.60,2.40,0.90,,6.00,3.60,4.20,3.90,3.90,3.90,1.80
Yobe,Gujba,144231.00,,,,,,2.08,9.71,15.25,15.25,22.88,15.25,15.25,33.28,42.29,29.81,20.80,6.93
Yobe,Gulani,114763.00,,,,,,15.68,42.70,6.97,18.30,8.71,6.10,3.49,6.10,4.36,12.20,3.49,
Yobe,Jakusko,253988.00,,,,,,,1.97,2.76,1.57,0.39,4.33,18.11,5.12,2.36,7.87,5.91,
Yobe,Karasuwa,118624.00,,,,,,,,,,,20.23,25.29,4.22,5.06,,3.37,
Yobe,Machina,68304.00,,,,1.46,,1.46,1.46,5.86,23.42,7.32,5.86,,11.71,5.85,10.25,2.93,10.25
Yobe,Nangere,97371.00,,,,,5.14,1.03,3.08,3.08,14.38,,,2.05,14.38,26.70,17.46,1.03,5.14
Yobe,Nguru,167008.00,,1.20,3.59,,,1.80,4.10,3.59,2.40,3.59,3.59,12.57,23.95,23.35,18.56,11.98,23.95
